Subj	Role	Melody	Partner	Elec	AlphaERD
S18	leader	diff	comp	fc	-3.950
S18	leader	diff	comp	cpl	1.932
S18	leader	diff	comp	cpr	9.062
S18	leader	diff	comp	po	8.255
S18	follower	same	comp	fc	-5.436
S18	follower	same	comp	cpl	-19.709
S18	follower	same	comp	cpr	3.103
S18	follower	same	comp	po	-2.055
S18	follower	diff	comp	fc	13.463
S18	follower	diff	comp	cpl	-10.632
S18	follower	diff	comp	cpr	-10.517
S18	follower	diff	comp	po	-15.624
S19	leader	same	human	fc	33.387
S19	leader	same	human	cpl	17.595
S19	leader	same	human	cpr	22.492
S19	leader	same	human	po	19.294
S19	leader	diff	human	fc	7.245
S19	leader	diff	human	cpl	16.450
S19	leader	diff	human	cpr	11.189
S19	leader	diff	human	po	15.824
S19	follower	same	human	fc	3.775
S19	follower	same	human	cpl	0.909
S19	follower	same	human	cpr	-3.976
S19	follower	same	human	po	10.076
S19	follower	diff	human	fc	4.981
S19	follower	diff	human	cpl	22.004
S19	follower	diff	human	cpr	-3.023
S19	follower	diff	human	po	24.110
S19	leader	same	comp	fc	-7.855
S19	leader	same	comp	cpl	-2.474
S19	leader	same	comp	cpr	-3.945
S19	leader	same	comp	po	-3.382
S19	leader	diff	comp	fc	-15.723
S19	leader	diff	comp	cpl	-1.295
S19	leader	diff	comp	cpr	2.489
S19	leader	diff	comp	po	-4.577
S19	follower	same	comp	fc	4.187
S19	follower	same	comp	cpl	-12.725
S19	follower	same	comp	cpr	-13.692
S19	follower	same	comp	po	-5.463
S19	follower	diff	comp	fc	2.852
S19	follower	diff	comp	cpl	-8.007
S19	follower	diff	comp	cpr	-7.687
S19	follower	diff	comp	po	-12.078
S20	leader	same	human	fc	-8.980
S20	leader	same	human	cpl	8.143
S20	leader	same	human	cpr	-0.917
S20	leader	same	human	po	-4.365
S20	leader	diff	human	fc	2.704
S20	leader	diff	human	cpl	-5.520
S20	leader	diff	human	cpr	-20.560
S20	leader	diff	human	po	-2.859
S20	follower	same	human	fc	15.894
S20	follower	same	human	cpl	4.867
S20	follower	same	human	cpr	6.844
S20	follower	same	human	po	8.883
S20	follower	diff	human	fc	7.909
S20	follower	diff	human	cpl	-5.052
S20	follower	diff	human	cpr	5.481
S20	follower	diff	human	po	10.142
S20	leader	same	comp	fc	0.341
S20	leader	same	comp	cpl	8.259
S20	leader	same	comp	cpr	0.745
S20	leader	same	comp	po	-0.670
S20	leader	diff	comp	fc	-3.507
S20	leader	diff	comp	cpl	-0.642
S20	leader	diff	comp	cpr	4.103
S20	leader	diff	comp	po	8.353
S20	follower	same	comp	fc	-10.163
S20	follower	same	comp	cpl	-10.671
S20	follower	same	comp	cpr	-16.040
S20	follower	same	comp	po	-2.557
S20	follower	diff	comp	fc	4.005
S20	follower	diff	comp	cpl	-2.745
S20	follower	diff	comp	cpr	1.805
S20	follower	diff	comp	po	-4.575
S23	leader	same	human	fc	17.369
S23	leader	same	human	cpl	11.872
S23	leader	same	human	cpr	6.959
S23	leader	same	human	po	4.214
S23	leader	diff	human	fc	-8.969
S23	leader	diff	human	cpl	-3.081
S23	leader	diff	human	cpr	-2.030
S23	leader	diff	human	po	-7.021
S23	follower	same	human	fc	6.982
S23	follower	same	human	cpl	-3.026
S23	follower	same	human	cpr	-0.791
S23	follower	same	human	po	-7.297
S23	follower	diff	human	fc	1.170
S23	follower	diff	human	cpl	-10.752
S23	follower	diff	human	cpr	4.384
S23	follower	diff	human	po	-18.417
S23	leader	same	comp	fc	-6.001
S23	leader	same	comp	cpl	7.841
S23	leader	same	comp	cpr	-6.866
S23	leader	same	comp	po	1.791
S23	leader	diff	comp	fc	9.861
S23	leader	diff	comp	cpl	-1.449
S23	leader	diff	comp	cpr	9.042
S23	leader	diff	comp	po	7.296
S23	follower	same	comp	fc	4.736
S23	follower	same	comp	cpl	-15.449
S23	follower	same	comp	cpr	-12.887
S23	follower	same	comp	po	-8.543
S23	follower	diff	comp	fc	4.233
S23	follower	diff	comp	cpl	15.218
S23	follower	diff	comp	cpr	4.651
S23	follower	diff	comp	po	7.265
S24	leader	same	human	fc	4.133
S24	leader	same	human	cpl	-0.375
S24	leader	same	human	cpr	-9.120
S24	leader	same	human	po	-0.507
S24	leader	diff	human	fc	8.771
S24	leader	diff	human	cpl	12.327
S24	leader	diff	human	cpr	13.079
S24	leader	diff	human	po	4.048
S24	follower	same	human	fc	-4.893
S24	follower	same	human	cpl	15.873
S24	follower	same	human	cpr	0.198
S24	follower	same	human	po	-2.440
S24	follower	diff	human	fc	9.100
S24	follower	diff	human	cpl	4.959
S24	follower	diff	human	cpr	12.181
S24	follower	diff	human	po	0.060
S24	leader	same	comp	fc	-6.360
S24	leader	same	comp	cpl	-14.262
S24	leader	same	comp	cpr	-6.950
S24	leader	same	comp	po	-7.826
S24	leader	diff	comp	fc	-6.452
S24	leader	diff	comp	cpl	-13.593
S24	leader	diff	comp	cpr	-3.104
S24	leader	diff	comp	po	-19.033
S24	follower	same	comp	fc	1.300
S24	follower	same	comp	cpl	-0.822
S24	follower	same	comp	cpr	0.405
S24	follower	same	comp	po	5.400
S24	follower	diff	comp	fc	-5.949
S24	follower	diff	comp	cpl	1.312
S24	follower	diff	comp	cpr	12.840
S24	follower	diff	comp	po	16.138
